gene	length	distribution
681	13	(prob=0.0008,cumulative=0.1998)
682	9	(prob=0.0005,cumulative=0.2003)
683	1	(prob=0.0001,cumulative=0.2003)
684	10	(prob=0.0006,cumulative=0.2009)
685	6	(prob=0.0004,cumulative=0.2013)
686	9	(prob=0.0005,cumulative=0.2018)
687	5	(prob=0.0003,cumulative=0.2021)
688	3	(prob=0.0002,cumulative=0.2023)
689	4	(prob=0.0002,cumulative=0.2025)
690	11	(prob=0.0006,cumulative=0.2032)
691	7	(prob=0.0004,cumulative=0.2036)
692	6	(prob=0.0004,cumulative=0.2039)
693	8	(prob=0.0005,cumulative=0.2044)
694	8	(prob=0.0005,cumulative=0.2049)
695	6	(prob=0.0004,cumulative=0.2052)
696	8	(prob=0.0005,cumulative=0.2057)
697	4	(prob=0.0002,cumulative=0.2059)
698	12	(prob=0.0007,cumulative=0.2067)
699	15	(prob=0.0009,cumulative=0.2075)
700	5	(prob=0.0003,cumulative=0.2078)
701	5	(prob=0.0003,cumulative=0.2081)
702	7	(prob=0.0004,cumulative=0.2085)
703	12	(prob=0.0007,cumulative=0.2092)
704	10	(prob=0.0006,cumulative=0.2098)
705	12	(prob=0.0007,cumulative=0.2105)
706	1	(prob=0.0001,cumulative=0.2106)
707	7	(prob=0.0004,cumulative=0.2110)
708	9	(prob=0.0005,cumulative=0.2115)
709	3	(prob=0.0002,cumulative=0.2117)
710	5	(prob=0.0003,cumulative=0.2120)
711	10	(prob=0.0006,cumulative=0.2126)
712	2	(prob=0.0001,cumulative=0.2127)
713	4	(prob=0.0002,cumulative=0.2130)
714	10	(prob=0.0006,cumulative=0.2136)
715	4	(prob=0.0002,cumulative=0.2138)
716	8	(prob=0.0005,cumulative=0.2143)
717	8	(prob=0.0005,cumulative=0.2147)
718	5	(prob=0.0003,cumulative=0.2150)
719	10	(prob=0.0006,cumulative=0.2156)
720	12	(prob=0.0007,cumulative=0.2163)
721	13	(prob=0.0008,cumulative=0.2171)
722	7	(prob=0.0004,cumulative=0.2175)
723	9	(prob=0.0005,cumulative=0.2180)
724	6	(prob=0.0004,cumulative=0.2184)
725	9	(prob=0.0005,cumulative=0.2189)
726	5	(prob=0.0003,cumulative=0.2192)
727	4	(prob=0.0002,cumulative=0.2195)
728	8	(prob=0.0005,cumulative=0.2199)
729	7	(prob=0.0004,cumulative=0.2203)
730	12	(prob=0.0007,cumulative=0.2210)
731	4	(prob=0.0002,cumulative=0.2213)
732	9	(prob=0.0005,cumulative=0.2218)
733	11	(prob=0.0006,cumulative=0.2225)
734	5	(prob=0.0003,cumulative=0.2228)
735	11	(prob=0.0006,cumulative=0.2234)
736	3	(prob=0.0002,cumulative=0.2236)
737	5	(prob=0.0003,cumulative=0.2239)
738	17	(prob=0.0010,cumulative=0.2249)
739	4	(prob=0.0002,cumulative=0.2251)
740	6	(prob=0.0004,cumulative=0.2255)
741	6	(prob=0.0004,cumulative=0.2258)
742	9	(prob=0.0005,cumulative=0.2264)
743	7	(prob=0.0004,cumulative=0.2268)
744	5	(prob=0.0003,cumulative=0.2271)
745	7	(prob=0.0004,cumulative=0.2275)
746	5	(prob=0.0003,cumulative=0.2278)
747	9	(prob=0.0005,cumulative=0.2283)
748	8	(prob=0.0005,cumulative=0.2288)
749	6	(prob=0.0004,cumulative=0.2291)
750	10	(prob=0.0006,cumulative=0.2297)
751	8	(prob=0.0005,cumulative=0.2302)
752	3	(prob=0.0002,cumulative=0.2304)
753	5	(prob=0.0003,cumulative=0.2307)
754	8	(prob=0.0005,cumulative=0.2311)
755	10	(prob=0.0006,cumulative=0.2317)
756	10	(prob=0.0006,cumulative=0.2323)
757	4	(prob=0.0002,cumulative=0.2325)
758	8	(prob=0.0005,cumulative=0.2330)
759	12	(prob=0.0007,cumulative=0.2337)
760	9	(prob=0.0005,cumulative=0.2343)
761	7	(prob=0.0004,cumulative=0.2347)
762	8	(prob=0.0005,cumulative=0.2351)
