exon	length	distribution
530	21	(prob=0.0002,cumulative=0.9389)
531	31	(prob=0.0003,cumulative=0.9392)
532	16	(prob=0.0002,cumulative=0.9394)
533	22	(prob=0.0002,cumulative=0.9396)
534	34	(prob=0.0003,cumulative=0.9399)
535	23	(prob=0.0002,cumulative=0.9402)
536	17	(prob=0.0002,cumulative=0.9403)
537	31	(prob=0.0003,cumulative=0.9406)
538	16	(prob=0.0002,cumulative=0.9408)
539	16	(prob=0.0002,cumulative=0.9410)
540	18	(prob=0.0002,cumulative=0.9411)
541	18	(prob=0.0002,cumulative=0.9413)
542	18	(prob=0.0002,cumulative=0.9415)
543	30	(prob=0.0003,cumulative=0.9418)
544	20	(prob=0.0002,cumulative=0.9420)
545	18	(prob=0.0002,cumulative=0.9422)
546	21	(prob=0.0002,cumulative=0.9424)
547	28	(prob=0.0003,cumulative=0.9427)
548	19	(prob=0.0002,cumulative=0.9429)
549	21	(prob=0.0002,cumulative=0.9431)
550	20	(prob=0.0002,cumulative=0.9433)
551	13	(prob=0.0001,cumulative=0.9434)
552	18	(prob=0.0002,cumulative=0.9436)
553	25	(prob=0.0002,cumulative=0.9438)
554	9	(prob=0.0001,cumulative=0.9439)
555	27	(prob=0.0003,cumulative=0.9442)
556	12	(prob=0.0001,cumulative=0.9443)
557	13	(prob=0.0001,cumulative=0.9444)
558	15	(prob=0.0001,cumulative=0.9446)
559	19	(prob=0.0002,cumulative=0.9448)
560	11	(prob=0.0001,cumulative=0.9449)
561	16	(prob=0.0002,cumulative=0.9450)
562	15	(prob=0.0001,cumulative=0.9452)
563	9	(prob=0.0001,cumulative=0.9453)
564	17	(prob=0.0002,cumulative=0.9454)
565	10	(prob=0.0001,cumulative=0.9455)
566	14	(prob=0.0001,cumulative=0.9457)
567	21	(prob=0.0002,cumulative=0.9459)
568	16	(prob=0.0002,cumulative=0.9460)
569	17	(prob=0.0002,cumulative=0.9462)
570	17	(prob=0.0002,cumulative=0.9464)
571	26	(prob=0.0003,cumulative=0.9466)
572	10	(prob=0.0001,cumulative=0.9467)
573	27	(prob=0.0003,cumulative=0.9470)
574	15	(prob=0.0001,cumulative=0.9472)
575	13	(prob=0.0001,cumulative=0.9473)
576	16	(prob=0.0002,cumulative=0.9474)
577	15	(prob=0.0001,cumulative=0.9476)
578	7	(prob=0.0001,cumulative=0.9477)
579	14	(prob=0.0001,cumulative=0.9478)
