intron	length	distribution
512	12	(prob=0.0001,cumulative=0.9265)
513	14	(prob=0.0002,cumulative=0.9266)
514	21	(prob=0.0003,cumulative=0.9269)
515	9	(prob=0.0001,cumulative=0.9270)
516	12	(prob=0.0001,cumulative=0.9271)
517	10	(prob=0.0001,cumulative=0.9273)
518	9	(prob=0.0001,cumulative=0.9274)
519	13	(prob=0.0002,cumulative=0.9275)
520	11	(prob=0.0001,cumulative=0.9277)
521	15	(prob=0.0002,cumulative=0.9278)
522	21	(prob=0.0003,cumulative=0.9281)
523	14	(prob=0.0002,cumulative=0.9283)
524	15	(prob=0.0002,cumulative=0.9284)
525	16	(prob=0.0002,cumulative=0.9286)
526	17	(prob=0.0002,cumulative=0.9288)
527	10	(prob=0.0001,cumulative=0.9289)
528	11	(prob=0.0001,cumulative=0.9291)
529	13	(prob=0.0002,cumulative=0.9292)
530	11	(prob=0.0001,cumulative=0.9294)
531	10	(prob=0.0001,cumulative=0.9295)
532	17	(prob=0.0002,cumulative=0.9297)
533	10	(prob=0.0001,cumulative=0.9298)
534	13	(prob=0.0002,cumulative=0.9300)
535	15	(prob=0.0002,cumulative=0.9301)
536	14	(prob=0.0002,cumulative=0.9303)
537	7	(prob=0.0001,cumulative=0.9304)
538	8	(prob=0.0001,cumulative=0.9305)
539	12	(prob=0.0001,cumulative=0.9306)
540	13	(prob=0.0002,cumulative=0.9308)
541	10	(prob=0.0001,cumulative=0.9309)
542	10	(prob=0.0001,cumulative=0.9310)
543	19	(prob=0.0002,cumulative=0.9313)
544	18	(prob=0.0002,cumulative=0.9315)
545	4	(prob=0.0000,cumulative=0.9315)
546	16	(prob=0.0002,cumulative=0.9317)
547	9	(prob=0.0001,cumulative=0.9318)
548	14	(prob=0.0002,cumulative=0.9320)
549	6	(prob=0.0001,cumulative=0.9321)
550	14	(prob=0.0002,cumulative=0.9322)
551	8	(prob=0.0001,cumulative=0.9323)
552	11	(prob=0.0001,cumulative=0.9324)
553	5	(prob=0.0001,cumulative=0.9325)
554	9	(prob=0.0001,cumulative=0.9326)
555	8	(prob=0.0001,cumulative=0.9327)
556	9	(prob=0.0001,cumulative=0.9328)
557	13	(prob=0.0002,cumulative=0.9330)
558	10	(prob=0.0001,cumulative=0.9331)
559	8	(prob=0.0001,cumulative=0.9332)
560	7	(prob=0.0001,cumulative=0.9333)
561	11	(prob=0.0001,cumulative=0.9334)
562	11	(prob=0.0001,cumulative=0.9335)
563	9	(prob=0.0001,cumulative=0.9336)
564	10	(prob=0.0001,cumulative=0.9338)
565	10	(prob=0.0001,cumulative=0.9339)
566	11	(prob=0.0001,cumulative=0.9340)
567	10	(prob=0.0001,cumulative=0.9341)
568	11	(prob=0.0001,cumulative=0.9343)
569	2	(prob=0.0000,cumulative=0.9343)
570	9	(prob=0.0001,cumulative=0.9344)
571	9	(prob=0.0001,cumulative=0.9345)
572	11	(prob=0.0001,cumulative=0.9346)
573	8	(prob=0.0001,cumulative=0.9347)
574	8	(prob=0.0001,cumulative=0.9348)
575	17	(prob=0.0002,cumulative=0.9350)
576	10	(prob=0.0001,cumulative=0.9352)
577	6	(prob=0.0001,cumulative=0.9352)
578	7	(prob=0.0001,cumulative=0.9353)
579	13	(prob=0.0002,cumulative=0.9355)
580	10	(prob=0.0001,cumulative=0.9356)
581	11	(prob=0.0001,cumulative=0.9357)
582	4	(prob=0.0000,cumulative=0.9358)
583	13	(prob=0.0002,cumulative=0.9359)
584	7	(prob=0.0001,cumulative=0.9360)
585	9	(prob=0.0001,cumulative=0.9361)
586	7	(prob=0.0001,cumulative=0.9362)
587	6	(prob=0.0001,cumulative=0.9363)
588	10	(prob=0.0001,cumulative=0.9364)
589	9	(prob=0.0001,cumulative=0.9365)
590	13	(prob=0.0002,cumulative=0.9366)
591	6	(prob=0.0001,cumulative=0.9367)
592	18	(prob=0.0002,cumulative=0.9369)
593	8	(prob=0.0001,cumulative=0.9370)
594	14	(prob=0.0002,cumulative=0.9372)
595	9	(prob=0.0001,cumulative=0.9373)
596	14	(prob=0.0002,cumulative=0.9375)
597	8	(prob=0.0001,cumulative=0.9376)
598	7	(prob=0.0001,cumulative=0.9377)
599	12	(prob=0.0001,cumulative=0.9378)
600	12	(prob=0.0001,cumulative=0.9379)
